nome, cpf, telefone 
Leonardo, 123, 123
Leonardo, 0341128708, 123456789
Leonardo, 123456, 159
Leonardo, 123456, 78898
Leonardo, 123456, 78898
Carlos, 232323, 24242
23, 2323, 2323
2323, 2323, 2323
sdsd, sdsd, sds
sdsd, sdsd, sdsd
sdsd, sdsdsd, sdsdsd
sdsd, sdsd, sdsdds
sdsd, sdsd, sdsd
sdsdsd, sdsd, sdsd
dsds, dsds, dsdsd
sdsd, sds, dsdsd
sds, dsds, dsdsd
sdsd, sds, dsd
sdsd, sdsd, sdsd
sdds, sdsd, sdsd
sdsd, sdsd, sdsdsd
zczc, zc, zczc
sdsd, sds, dsds
sdsds, dsdsd, 
sdsds, dsdsd, sdsdsd
sdsds, dsdsd, sdsdsd
sdsds, dsdsd, sdsdsd
dada, daad, dadada
leonardo, 123456789, 1597533
Leonardo, 159, 159
leonardo, 123456, 12345
sds, sd, dsds
leonardo, 561654, 546465
2323, 2323, 232323
